S17181,1986-096A,FLTSATCOM F7,FLTSATCOM F7,2457654.24,2016 Sep 22 1747,GEO/I,1436.122,35686,35887,14.71,100.38E,0.014W
S19548,1988-091B,TDRS 3,TDRS C,2457866.94,2017 Apr 23 1039,GEO/I,1436.028,35624,35946,14.44,61.65W,0.010E
S19976,1989-035A,USA 37,VORTEX 13,2457860.69,2017 Apr 17 428,GEO/T,1436.122,31667,39906,8.01,95.77E,0.014W
S20253,1989-077A,FLTSATCOM F8,FLTSATCOM F8,2457833.09,2017 Mar 20 1412,GEO/I,1436.122,35749,35824,12.89,15.58W,0.014W
S20776,1990-079A,Skynet 4C,Skynet 4C,2457866.87,2017 Apr 23 846,GEO/I,1436.076,35776,35796,13.81,33.41E,0.002W
S21639,1991-054B,TDRS 5,TDRS-E,2457867.18,2017 Apr 23 1616,GEO/I,1435.947,35676,35890,14.34,167.77W,0.030E
S22314,1993-003B,TDRS-6,TDRS F,2457866.94,2017 Apr 23 1040,GEO/I,1436.171,35760,35816,13.87,45.21W,0.026W
S22787,1993-056A,UHF F/O F2,UFO F2,2457814.04,2017 Mar 1 1302,GEO/I,1436.122,35764,35809,10.69,29.02E,0.014W
S22871,1993-066A,INTELSAT 701,INTELSAT 701,2457867.35,2017 Apr 23 2020,GEO/I,1436.108,35770,35803,4.09,29.52W,0.010W
S22988,1994-009A,Milstar 1,Milstar DFS-1,2457845.26,2017 Apr 1 1816,GEO/I,1436.122,35768,35805,12.06,38.77W,0.014W
S23223,1994-054A,USA 105,MERCURY 14,2457820.01,2017 Mar 7 1218,GEO/I,1435.936,35645,35921,10.84,45.18E,0.033E
S23227,1994-055A,Optus B3,Optus B3,2457867.12,2017 Apr 23 1456,GEO/ID,1459.015,36207,36260,7.31,151.77W,5.677W
S23331,1994-070A,Astra 1D,Astra 1D,2457866.88,2017 Apr 23 906,GEO/I,1436.093,35769,35803,7.48,47.49W,0.006W
S23435,1994-084A,DSP F17,DSP 17,2457779.35,2017 Jan 25 2031,GEO/I,1436.122,35776,35797,14.05,49.07W,0.014W
S23467,1995-003A,UHF F/O F4,UFO F4 EHF,2457829.37,2017 Mar 16 2054,GEO/I,1436.122,35752,35821,9.52,99.91W,0.014W
S23536,1995-016A,Star One B2,Brasilsat B2,2457866.95,2017 Apr 23 1046,GEO/I,1436.104,35777,35796,7.11,68.13W,0.009W
S23553,1995-019A,AMSC 1,AMSC 1,2457866.31,2017 Apr 22 1930,GEO/I,1436.087,35765,35807,10.02,103.29W,0.005W
S23567,1995-022A,USA 110,ORION 3,2457789.88,2017 Feb 5 913,GEO/I,1436.122,35545,36028,13.67,126.79E,0.014W
S23613,1995-035B,TDRS 7,TDRS G,2457867.1,2017 Apr 23 1431,GEO/I,1436.015,35649,35920,14.95,85.86E,0.013E
S23628,1995-038A,USA 113,DSCS III B-7,2457717.15,2016 Nov 24 1531,GEO/I,1436.122,35772,35801,10.07,103.61E,0.014W
S23696,1995-057A,UHF F/O F6,UFO F6-EHF,2457829.39,2017 Mar 16 2119,GEO/I,1436.122,35759,35814,8.94,104.43W,0.014W
S23712,1995-060A,Milstar 2,Milstar DFS-2,2457857.27,2017 Apr 13 1831,GEO/I,1436.122,35724,35849,12.39,89.72W,0.014W
S23754,1995-073A,Echostar I,Echostar 1,2457866.97,2017 Apr 23 1115,GEO/S,1436.115,35776,35797,0.7,77.27W,0.012W
S23839,1996-020A,INMARSAT III F-1,INMARSAT III F-1,2457867.18,2017 Apr 23 1616,GEO/I,1436.091,35760,35812,3.88,64.53E,0.006W
S23842,1996-021A,Astra 1F,Astra 1F,2457867.37,2017 Apr 23 2052,GEO/S,1436.105,35771,35802,0.04,44.30E,0.009W
S23855,1996-026A,USA 118,MERCURY 15,2457819.91,2017 Mar 7 949,GEO/I,1436.122,34080,37493,9.52,48.59E,0.014W
S23846,1996-022A,M-SAT 1,MSAT-1,2457866.35,2017 Apr 22 2022,GEO/I,1436.087,35763,35809,7.67,107.49W,0.005W
S23967,1996-042A,UHF F/O F7,UFO F7-EHF,2457850.11,2017 Apr 6 1439,GEO/I,1436.122,35751,35822,8.23,22.58W,0.014W
S24307,1996-053A,INMARSAT III F-2,INMARSAT III F-2,2457867.35,2017 Apr 23 2021,GEO/S,1436.087,35758,35814,2.52,15.46W,0.005W
S24315,1996-054A,AMC 1,Americom 1,2457866.51,2017 Apr 23 14,GEO/S,1436.1,35775,35797,1.45,129.12W,0.008W
S24653,1996-063B,Africasat 2,Measat 2,2457866.8,2017 Apr 23 706,GEO/I,1436.072,35759,35813,7.4,147.72E,0.001W
S24665,1996-067A,EUTELSAT 48A,Eutelsat HB2,2457867.37,2017 Apr 23 2052,GEO/I,1436.07,35764,35807,6.27,48.36E,0.001W
S24674,1996-070A,INMARSAT III F-3,INMARSAT III F3,2457866.64,2017 Apr 23 323,GEO/I,1436.062,35759,35812,3.33,178.15E,0.002E
S24713,1997-002A,AMC 2,Americom 2,2457866.97,2017 Apr 23 1115,GEO/I,1436.125,35765,35808,4.24,84.98W,0.014W
S24737,1997-008A,DSP F18,DSP 20,2457800.16,2017 Feb 15 1548,GEO/I,1436.122,35778,35795,12.7,8.21E,0.014W
S24732,1997-007A,Intelsat IS-26,JCSAT 4,2457867.2,2017 Apr 23 1646,GEO/I,1436.08,35763,35809,7.38,64.49E,0.003W
S24812,1997-026A,Galaxy 25,Telstar 5,2457866.17,2017 Apr 22 1608,GEO/S,1436.097,35770,35802,0.04,93.12W,0.007W
S24901,1997-042A,ABS-3,Mabuhay,2457867.35,2017 Apr 23 2022,GEO/I,1436.074,35750,35821,4.79,85.44E,0.001W
S24932,1997-049B,Meteosat 7,MTP 1,2457866.21,2017 Apr 22 1655,GEO/ID,1464.766,36299,36392,10.59,67.13W,7.072W
S24916,1997-046A,Intelsat IS-5,PAS 5,2457866.67,2017 Apr 23 411,GEO/I,1436.094,35771,35801,3.44,157.03E,0.007W
S24936,1997-050A,AMC 3,Americom 3,2457866.95,2017 Apr 23 1053,GEO/S,1436.092,35775,35797,0.26,72.02W,0.006W
S24957,1997-053A,NSS 5,INTELSAT 803,2457867.37,2017 Apr 23 2052,GEO/I,1436.053,35770,35801,3.74,50.58E,0.004E
S25004,1997-059A,Echostar III,Echostar 3,2457866.31,2017 Apr 22 1925,GEO/S,1436.076,35780,35792,2.04,61.77W,0.002W
S25019,1997-065A,USA 134,DSCS III B-13,2457809.5,2017 Feb 25 6,GEO/I,1436.122,35756,35817,8.72,111.74W,0.014W
S25067,1997-075A,JCSAT 1B,JCSAT 5,2457866.21,2017 Apr 22 1659,GEO/I,1436.087,35768,35804,5.47,149.87E,0.005W
S25071,1997-076A,Astra 1G,Astra 1G,2457867.37,2017 Apr 23 2052,GEO/S,1436.096,35772,35800,2.21,51.11E,0.007W
S25153,1998-006B,INMARSAT III F-5,INMARSAT 3 F5,2457866.89,2017 Apr 23 919,GEO/S,1436.144,35767,35807,2.47,54.10W,0.019W
S25152,1998-006A,Star One B3,Brasilsat B3,2457866.28,2017 Apr 22 1843,GEO/I,1436.119,35773,35800,3.93,63.18W,0.013W
S25239,1998-014A,NSS 806,INTELSAT 806,2457866.95,2017 Apr 23 1054,GEO/S,1436.064,35768,35803,0.06,47.52W,0.001E
S25258,1998-016A,UHF F/O F8,UFO F8,2457768.81,2017 Jan 15 729,GEO/I,1436.251,35772,35806,7.35,171.39E,0.046W
S25336,1998-029A,USA 139,ORION 4,2457839.06,2017 Mar 26 1320,GEO/I,1436.122,35632,35941,9.08,26.35W,0.014W
S25354,1998-033A,Zhongxing 5A,Chinasat 5A,2457867.42,2017 Apr 23 2210,GEO/S,1436.128,35775,35799,1.13,125.53E,0.015W
S25358,1998-035A,Thor III,Thor 3,2457867.09,2017 Apr 23 1407,GEO/I,1436.1,35777,35796,5.33,4.29W,0.008W
S25371,1998-037A,INTELSAT 805,INTELSAT 805,2457867.1,2017 Apr 23 1428,GEO/S,1436.129,35774,35799,0.02,168.99E,0.015W
S25462,1998-050A,Astra 2A,Astra 2A,2457867.25,2017 Apr 23 1801,GEO/S,1436.126,35777,35796,0.04,113.50E,0.014W
S25515,1998-063A,Afristar,Afristar,2457867.35,2017 Apr 23 2022,GEO/I,1436.104,35768,35804,3.2,21.03E,0.009W
S25522,1998-065A,Intelsat IS-8,PAS 8,2457867.31,2017 Apr 23 1921,VHEO,1512.82,35969,38580,0.89,154.61E,18.314W
S25630,1999-006A,JCSAT 4A,JCSAT 6,2457867.3,2017 Apr 23 1911,GEO/S,1436.112,35779,35794,2.18,81.97E,0.011W
S25639,1999-009B,Skynet 4E,Skynet 4E,2457866.48,2017 Apr 22 2334,GEO/I,1436.093,35774,35798,10.09,5.91E,0.006W
S25657,1999-013A,Asiasat 3S,Asiasat 3S,2457867.36,2017 Apr 23 2033,GEO/S,1436.101,35772,35801,2.4,146.01E,0.008W
S25740,1999-027A,Nimiq 1,Telesat DTH-1,2457866.97,2017 Apr 23 1115,GEO/S,1436.156,35763,35812,0.02,86.56W,0.022W
